product_id,product_name,price,sub_category_id
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65,1
FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",3709.3949999999995,2
TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",5175.171000000001,3
TEC-PH-10004583,"Motorola Smart Phone, Cordless",2892.5099999999998,3
TEC-SHA-10000501,"Sharp Wireless Fax, High-Speed",2832.96,4
TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",2862.675,3
FUR-CH-10004050,"Novimex Executive Leather Armchair, Adjustable",1822.0799999999997,2
FUR-TA-10002958,"Chromcraft Conference Table, Fully Assembled",5244.84,5
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5083.96,6
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,5
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,4164.049999999999,7
FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",4626.15,5
TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",2616.96,3
FUR-CH-10002033,"Harbour Creations Executive Leather Armchair, Adjustable",2221.8,2
OFF-AP-10003500,"KitchenAid Microwave, White",3701.5199999999995,8
OFF-AP-10000423,"Breville Refrigerator, Red",1869.5879999999997,8
TEC-AC-10004145,Logitech diNovo Edge Keyboard,2249.91,1
OFF-AP-10004512,"Hoover Stove, Red",7958.58,8
TEC-CO-10000865,"Brother Fax Machine, High-Speed",2565.594,4
OFF-KIT-10004058,"KitchenAid Stove, White",3409.74,8
FUR-HON-10000224,"Hon Computer Table, with Bottom Storage",1977.7199999999998,5
TEC-PH-10001363,Apple iPhone 5S,2735.952,3
FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",2753.999999999999,2
OFF-AP-10003590,"KitchenAid Refrigerator, Black",5273.7,8
TEC-PH-10004182,"Motorola Smart Phone, Full Size",1713.8400000000001,3
FUR-TA-10002827,"Hon Computer Table, Fully Assembled",2106.496,5
FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",1715.1599999999999,5
TEC-PH-10002885,Apple iPhone 5,4158.912,3
FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",1878.7199999999998,2
TEC-PH-10002815,"Samsung Smart Phone, VoIP",1696.64,3
TEC-MA-10000161,"Okidata Inkjet, Wireless",2402.8650000000002,9
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,2453.43,2
OFF-AP-10004246,"Breville Stove, Red",2526.93,8
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,3610.848,5
TEC-APP-10000308,"Apple Smart Phone, Full Size",3817.26,3
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,2799.96,9
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,7999.98,9
TEC-CO-10000013,"Brother Fax Machine, Laser",4141.02,4
TEC-PH-10000499,"Motorola Smart Phone, Full Size",3200.5962,3
